"ID","Company","EL Date","IBC Date","Est. Close Date","Project Name","EL Expiration Date","Status","Deal Type","Deal Slot","Closed Date","Dead Date","Primary Banker","Practice Area","Industry","Projected Transaction Size","Enterpise Value","Final Transaction Size","Projected Fee","Fee Minimum","Engagment Fee","Fee Details","Split to Corporate","Monthly Retainer","Final Total Sucess Fee","Ownership Class","Referral Type","Referral Source-Company","Referral Scource-Ind.","Description","Team Split-1","Team-1","Team Split-2","Team-2","Team Split-3","Team-3","Team Split-4","Team-4","Team Split-5","Team-5","Team Split-6","Team-6","Fee Split-1","Fee To-1","Fee Split-2","Fee To-2","Fee Split-3","Fee To-3","Fee Split-4","Fee To-4","Fee Split-5","Fee To-5","Fee Split-6","Fee To-6","Paul","McBroom","Pipeline","Month of Close","Gross This","Gross Next"
"539","GoSmile, Inc.","6/2/2014","5/30/2014","","Project Pearl","","Pre Market","M&A - Sell-side","Minimum","","","Bill Harrison","Consumer Products","Consumer & Retail - Branded Consumer/Private Label","$8000000","< $10mm","","$400000","250000","25000","","0.20","0","","Private Equity Owned","Sole Sourced","","","","100%","Bill Harrison","","Chad Gardiner","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","1/20/2015","0","400000"
"540","GSI Group, Inc.","6/25/2013","","7/30/2014","Project Clare & Jacket","","Closed","Divestiture","Minimum","7/25/2014","","Grant Garbers","","","$15000000","$10mm - $25mm","$12000000","$800000","300000","0","","","12000","300000","","Sole Sourced","Sole Sourced","Grant Garbers","","","Grant Garbers","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"541","Gulf Coast Refining","","7/28/2014","","","","","","","","","Michael Swartz","","Energy & Natural Resources - Oil & Gas - Refining & Storage","","","","","","","","","","","","Sole Sourced",""," ","","","Michael Swartz","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"542","Gutmann AG / ALCO","12/11/2012","","9/14/2013","","","Dead","M&A - Sell-side","Wheelhouse","","","Len LaPorta","","","$100000000","< $150mm","","$2500000","1000000","10000","","9.99","8000","","","","Aegean Baltic Bank S.A."," ","","","Len LaPorta","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"543","GWACS Defense","6/10/2013","","","","","Dead","Capital Formation - Equity","Speculative","","5/28/2014","Tess Oxenstierna","","","$10000000","$10mm - $25mm","","","","","","","","","","",""," ","","","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"544","Igloo Products","7/17/2014","","","Project Cooler","","In Market","M&A - Buy-side","Speculative","","","Bill Harrison","Consumer Products","Consumer & Retail - Specialty Retailing","$20000000","$10mm - $25mm","","","","0","","0.20","10000","","Private Equity Owned","Sole Sourced","Igloo Products","","","100%","Bill Harrison","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"545","Iniziativa Prima - Alitalia Maintenance Systems","6/26/2012","","","","6/25/2013","Dead","M&A - Sell-side","Minimum","","","Tess Oxenstierna","","","$15000000","$10mm - $25mm","","$450000","300000","","","","3500","","","",""," ","","","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"546","Innflux","1/7/2014","","9/30/2014","Project Innovation","","Under LOI","M&A - Sell-side","Wheelhouse","","","Gary Moon","TMT","Technology/Media/Telecom - Telecom - Services","$13000000","$10mm - $25mm","","$600000","500000","0","","0.15","10000","","Privately Owned","Sole Sourced","Sole Sourced","Gary Moon","","100%","Gary Moon","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","9/16/2014","500000","0"
"547","Inovus Solar","","7/21/2014","","","","","","","","","Michael Swartz","","Energy & Natural Resources - Alternative - Solar","","","","","","","","","","","","IBS to Practice",""," ","","","Michael Swartz","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"548","InternetQ","5/3/2013","","","","","Dead","Capital Formation - Equity","Wheelhouse","","5/27/2014","Gary Moon","","","$45000000","$25mm - $75mm","","","","","","","","","","",""," ","","","Gary Moon","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"549","iON Worldwide, LLC","1/23/2014","1/13/2014","10/1/2014","Project Focus","","In Market","Capital Formation - Debt","Minimum","","","Darin Good","Consumer Products","Consumer & Retail - Specialty Retailing","$12500000","$10mm - $25mm","","$400000","200000","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Darin Good","","100%","Darin Good","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","9/29/2014","200000","0"
"550","Isonas","9/10/2013","","","Isonas","","Closed","Capital Formation - Equity","Speculative","9/17/2014","","Tom McConnell","Business Services","Business Services - Physical & Cyber Security","$15000000","$10mm - $25mm","$3000000","$600000","450000","","","0.20","7500","207500","Privately Owned","Sole Sourced","Sole Sourced","Thomas McConnell","","100%","Tom McConnell","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","9/30/2014","0","0"
"551","Jay Harpole","1/29/2014","","","Project Apex","","Dead","M&A - Sell-side, Licensing","Wheelhouse","","","Joel Schneyer","","Energy & Natural Resources - Oil & Gas - E&P","$50000000","$25mm - $75mm","","$750000","0","0","","","0","","","IBS to Practice","Deutsche Bank Private Wealth Management","Jay Pickett","","","Joel Schneyer","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"552","Joshi Technologies International","4/18/2014","4/28/2014","","Joshi Technologies International","","In Market","Capital Formation - Debt,Capital Formation - Equity","Wheelhouse","","","Macy/Pietravalle","Energy & Natural Resources","Energy & Natural Resources - Energy Services - Drilling & Energy Fluids","$50000000","$25mm - $75mm","","$2000000","","0","","0.40","10000","","Privately Owned","IBS to Practice","BAML","","","","Paul Janson","","Bradford Reynolds","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","12/10/2014","3000000","0"
"553","Kustom Signals, Inc.","5/5/2014","","","Project Citation","","In Market","M&A - Sell-side","Wheelhouse","","","Samrat Karnik","Industrials","Industrials - Manufacturing, Equipment & Materials","$20000000","$10mm - $25mm","","$500000","650000","","","0.38","","","Private Equity Owned","MA to Practice","Catalyst Corporate Finance LLP","","","","Samrat Karnik","","Paul Janson","","Bradford Reynolds","","Brad Collins","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","10/18/2014","650000","0"
"554","Lapmaster International","9/2/2013","","6/5/2014","Project Midway","","Closed","Capital Formation - Debt,Recapitalization,","Wheelhouse","7/3/2014","","Len LaPorta","","","$62000000","$25mm - $75mm","$62000000","$2200000","650000","25000","","","25000","1989025","","SC to Practice","Headwaters SC","Jim Bly","","","Len LaPorta","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"555","Legal Coverage Group","7/17/2014","","","Project Benefit","","Pre Market","Capital Formation - Debt","Wheelhouse","","","Phil Seefried","Business Services","Business Services - Support Services - BPO","$25000000","$25mm - $75mm","","$750000","450000","","","0.80","","","Privately Owned","SC to Practice","","","","","Phil Seefried","","Bradford Reynolds","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","12/23/2014","800000","0"
"556","LocalResponse","10/2/2013","","","","","Dead","M&A - Sell-side","Wheelhouse","","5/27/2014","Gary Moon","","","$45000000","$25mm - $75mm","","","","","","","","","","",""," ","","","Gary Moon","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"557","Longwall Associates","10/15/2013","","","Project Armour","","In Market","M&A - Sell-side","Wheelhouse","","","Jack Maier","Industrials","Industrials - Manufacturing, Equipment & Materials","$77000000","$75mm - $100mm","","$1900000","","","","0.85","","","Privately Owned","IBS to Practice","UBS","","","","Jack Maier","","","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","1/30/2015","0","1600000"
"558","Mazza & Sons","7/31/2011","","","","","Dead","M&A - Sell-side,","Wheelhouse","","4/4/2014","Doug Usifer","","","$21000000","$10mm - $25mm","","$675000","0","","","","5000","","","","","Brad Hall","","","Doug Usifer","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"559","Medsphere Systems Corporation","10/17/2013","","","","","Dead","M&A - Sell-side","Wheelhouse","","","David Baker","","","$50000000","$25mm - $75mm","","$2000000","400000","0","","","10000","","","","","Gary Moon","","","David Baker","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"560","Mercer Group International","10/17/2012","","","Mercer Group International","","In Market","M&A - Sell-side","Wheelhouse","","","Doug Usifer","Industrials","Business Services - Waste Management & Recycling","$25000000","$10mm - $25mm","","$475000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Doug Usifer","Privately Owned.","100%","Doug Usifer","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"561","Milestone Technologies, Inc.","3/20/2014","3/24/2014","","Project AIM","","In Market","M&A - Sell-side","Wheelhouse","","","Tyler Comann","Business Services","Business Services - Information Technology Services","$30000000","$25mm - $75mm","","$750000","500000","","","0.40","10000","","Privately Owned","Sole Sourced","Sole Sourced","","","100%","Tyler Comann","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","11/30/2014","850000","0"
"562","Mirasys","9/10/2013","","","Mirasys","","Under LOI","M&A - Sell-side","Minimum","","","Tom McConnell","Business Services","Business Services - Physical & Cyber Security","$25000000","$10mm - $25mm","","$1000000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Thomas McConnell","","100%","Tom McConnell","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","10/28/2014","0","0"
"563","MKS Instruments, Inc.","1/27/2014","","","MKS Instruments, Inc.","","Dead","M&A - Buy-side,","Speculative","","5/5/2014","Grant Garbers","","Industrials - Technology - Controls, Instruments & Sensors","$17000000","$10mm - $25mm","","$300000","300000","0","","","15000","","","Sole Sourced","","John Ippolito","","","Grant Garbers","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"564","Nelson Pipeline Constructors","8/2/2013","","","Project Pipe","","In Market","M&A - Sell-side","Speculative","","","Darin Good","Industrials","Industrials - Building Products & Construction Services","$15000000","$10mm - $25mm","","$750000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Brian Krehbiel","","100%","Darin Good","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","1/19/2015","0","1000000"
"565","NexLube","6/18/2013","","","NexLube","","In Market","Capital Formation - Equity","Wheelhouse","","","CJ Hummel","Energy & Natural Resources","Energy & Natural Resources - Oil & Gas - Refining & Storage","$40000000","$25mm - $75mm","","$600000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","CJ Hummel","","100%","CJ Hummel","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"566","Nuclear Care Partners, LLC","","2/17/2014","","","","","","","","","David Baker","","Healthcare - Services - Home health care","","","","","","","","","","","","Sole Sourced",""," ","","","David Baker","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"567","Onsite Health","4/1/2013","","","Onsite Health","","On Hold","M&A - Sell-side","Minimum","","","Phil Seefried","Healthcare","Healthcare - Services","$30000000","$25mm - $75mm","","$325000","","","","0.60","","","Private Equity Owned","Sole Sourced","Sole Sourced","Phil Seefried","No Financials.","","Phil Seefried","","","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","1/30/2015","0","400000"
"568","Opes Resources Inc.","","","9/12/2012","","1/31/2013","Dead","Capital Formation - Debt","Speculative","","3/25/2014","Ricardo Campoy","","","$72000000","$25mm - $75mm","","$1800000","0","0","","","0","","","","","Joel Schneyer","","","Ricardo Campoy","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"569","Options Group","","3/10/2014","","","","","","","","","Chad Gardiner","","Business Services - Professional Services & Consulting","","","","","","","","","","","","IBS to Practice",""," ","","","Chad Gardiner","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"570","PACOPS","7/21/2014","7/16/2014","","Project Black Bear","","Pre Market","Capital Formation - Equity","Wheelhouse","","","Macy/Pietravalle","Energy & Natural Resources","Energy & Natural Resources - Oil & Gas - E&P","$50000000","$25mm - $75mm","","$1500000","450000","20000","","0.40","10000","","Privately Owned","IBS to Practice","Barclays","","","","Macy/Pietravalle","","","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","6/2/2015","0","2000000"
"571","People Express Airlines","4/10/2013","","","","","Dead","Capital Formation - Equity","Speculative","","4/4/2014","Jeff Ackerman","","","$50000000","$25mm - $75mm","","$2000000","750000","0","","","15000","","","","","Jeff Ackerman","","","Jeff Ackerman","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"572","Perfect Market","10/8/2013","","7/30/2014","Perfect Market","","Closed","M&A - Sell-side","Wheelhouse","7/29/2014","","Sun Jen Yung","","","$35000000","$25mm - $75mm","$34000000","$1000000","800000","0","","","12500","1023250","","Sole Sourced","Sole Sourced","Sun Jen Yung","","","Sun Jen Yung","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"573","Phillips Screw Company","5/2/2014","4/3/2014","","Project Bond","","Pre Market","M&A - Sell-side","Wheelhouse","","","Ian Cookson","Industrials","Industrials - Aerospace/Defense","$20000000","$10mm - $25mm","","$900000","550000","","","0.30","15000","","Privately Owned","Sole Sourced","Sole Sourced","Ian Cookson","","100%","Ian Cookson","","Olivia Moran","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","3/31/2015","0","550000"
