"ID","Company","EL Date","IBC Date","Est. Close Date","Project Name","EL Expiration Date","Status","Deal Type","Deal Slot","Closed Date","Dead Date","Primary Banker","Practice Area","Industry","Projected Transaction Size","Enterpise Value","Final Transaction Size","Projected Fee","Fee Minimum","Engagment Fee","Fee Details","Split to Corporate","Monthly Retainer","Final Total Sucess Fee","Ownership Class","Referral Type","Referral Source-Company","Referral Scource-Ind.","Description","Team Split-1","Team-1","Team Split-2","Team-2","Team Split-3","Team-3","Team Split-4","Team-4","Team Split-5","Team-5","Team Split-6","Team-6","Fee Split-1","Fee To-1","Fee Split-2","Fee To-2","Fee Split-3","Fee To-3","Fee Split-4","Fee To-4","Fee Split-5","Fee To-5","Fee Split-6","Fee To-6","Paul","McBroom","Pipeline","Month of Close","Gross This","Gross Next"
"584","Restaurant.com, Inc.","10/25/2013","","","Restaurant.com, Inc.","","In Market","M&A - Sell-side,","Wheelhouse","","","Sun Jen Yung","TMT","Technology/Media/Telecom - Media - Internet Media and Marketing","$40000000","$25mm - $75mm","","$1250000","","","","","","","Privately Owned","Practice to Practice","Sole Sourced","David Francione","","","Sun Jen Yung","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"585","Rhino Metals","2/13/2014","1/20/2014","","Project Protect","","On Hold","M&A - Sell-side","Speculative","","","Jerry Sturgill","Consumer Products","Consumer & Retail - Other","$17500000","$10mm - $25mm","","$525000","420000","0","","0.20","10000","","Privately Owned","Sole Sourced","Sole Sourced","Jerry Sturgill","","100%","Jerry Sturgill","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"586","Rivet Software","4/5/2013","","","Project X","","Closed","Capital Formation - Equity","Minimum","9/29/2014","","Tom McConnell","Business Services","Technology/Media/Telecom - Tech - Software","$10000000","$10mm - $25mm","","$430000","430000","0","","0.20","5000","560000","Privately Owned","Sole Sourced","","Thomas McConnell","","100%","Tom McConnell","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","8/31/2014","430000","0"
"587","Serra Nova Mineracao S/A","","4/14/2014","","","","","","","","","Horacio Facca","","Energy & Natural Resources - Mining","","","","","","","","","","","","Sole Sourced",""," ","","","Horacio Facca","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"588","SFO Shuttle","12/20/2012","","","","","Dead","M&A - Sell-side","Minimum","","7/31/2014"," ","","","$17000000","$10mm - $25mm","","","","","","","","","","",""," ","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"589","SK Trucking","3/7/2014","1/20/2014","","Project Quorum","","In Market","M&A - Buy-side","Speculative","","","Ted Kinsman","Energy & Natural Resources","Energy & Natural Resources - Energy Services","$19915000","$10mm - $25mm","","$995750","500000","","","0.20","0","","Privately Owned","Sole Sourced","Sole Sourced","Sam Hill","Quorum has submitted an initial LOI to acquire SK for $19.9mm.","50%","Ted Kinsman","50%","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"590","Snap Infusion, LLC","6/11/2013","","","","","Dead","Capital Formation - Equity","Wheelhouse","","","Jeff Ackerman","","","$8500000","< $10mm","","$400000","300000","","","","10000","","","",""," ","","","Jeff Ackerman","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"591","Spring Partners","","3/24/2014","","","","","","","","","Sun Jen Yung","","Technology/Media/Telecom - Tech","","","","","","","","","","","","Sole Sourced",""," ","","","Sun Jen Yung","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"592","Stell Environmental Enterprises, Inc.","11/1/2012","","","Project Yellowstone","","In Market","M&A - Sell-side","Minimum","","","Bob Balaban","Business Services","Business Services - Engineering, Architecture, Design Firms","$7000000","< $10mm","","$360000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Bob Balaban","","100%","Bob Balaban","","Chad Gardiner","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"593","Sunergy World, Inc.","6/17/2013","","","","","Dead","Capital Formation - Debt, Capital Formation - Equity","Minimum","","5/27/2014","Michael Swartz","","","$10000000","$10mm - $25mm","","","","","","","","","","",""," ","","","Michael Swartz","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"594","Sweeteners Plus","5/27/2014","","","Project Gusto","","Pre Market","M&A - Sell-side","Wheelhouse","","","Doug Usifer","Chemicals & Plastics","Industrials - Chemicals","$90000000","$75mm - $100mm","","$1800000","500000","50000","","0.36","0","","Privately Owned","IBS to Practice","BAML","","","","Doug Usifer","","","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","3/8/2015","0","1000000"
"595","Tateyama Farms","2/13/2014","3/3/2014","8/30/2014","Project Dairy","","Closed","M&A - Sell-side","Minimum","8/22/2014","","Dale Heims","Consumer Products","Consumer & Retail - Agribusiness","$14000000","$10mm - $25mm","$10000000","$400000","250000","25000","","0.20","0","250000","Privately Owned","IBS to Practice","UBS","","","","Dale Heims","","","","","","","","","","","","","","","","","","","","","","","0","1","IBS - Non-Corporate Pipeline","8/31/2014","250000","0"
"596","Tecopesca","4/29/2013","","","Tecopesca","","In Market","M&A - Sell-side","Speculative","","","Horacio Facca","LATAM","Consumer & Retail - Food Processing and Distribution","$120000000","< $150mm","","$6300000","","","","0.20","","","Privately Owned","IBS to Practice","BAML","Lily Tapia","Financials include Tecopesca, Bilbosa, T+B and Manabita. All companies are being sold as a group.","","Horacio Facca","","","","","","","","","","","","","","","","","","","","","","","0","1","IBS - Non-Corporate Pipeline","12/31/2014","0","0"
"597","Two Rivers Pipeline","9/4/2013","","","Project Dos Rios","","Pre Market","M&A - Sell-side","Speculative","","","Peter Nam","Energy & Natural Resources","Energy & Natural Resources - Oil & Gas - Refining & Storage","$72500000","$25mm - $75mm","","$1500000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Peter Nam","","100%","Peter Nam","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"598","WestComm, Inc.","6/9/2014","6/2/2014","","Project Eagle","","Pre Market","Capital Formation - Equity","Minimum","","","Rick deNey","Industrials","Industrials - Aerospace/Defense","$8000000","< $10mm","","$480000","300000","0","","0.20","10000","","Privately Owned","Sole Sourced","WestComm, Inc.","","","100%","Rick deNey","","Len LaPorta","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"599","Wex, Inc.","11/12/2013","","8/30/2014","Project Passport","","Closed","M&A - Sell-side,","Wheelhouse","7/31/2014","","Dave Francione","","","$40000000","$25mm - $75mm","$53600000","$750000","750000","20000","","9.99","20000","1340000","","IBS to Practice","BAML"," ","","","Dave Francione","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"600","White Mountain","3/19/2014","","","White Mountain","","In Market","M&A - Sell-side","Minimum","","","Jeff Ackerman","Consumer Products","Consumer & Retail - Apparel","$50000000","$25mm - $75mm","","$162500","162500","0","","0.20","0","","Privately Owned","Sole Sourced","Sole Sourced","Jeff Ackerman","","100%","Jeff Ackerman","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","11/30/2014","180000","0"
"601","Wholesale Fashion Square","","6/6/2014","","","","","","","","","William Harrison","","Consumer & Retail - Apparel","","","","","","","","","","","","IBS to Practice",""," ","","","William Harrison","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"602","Wind River Environmental","11/4/2013","","4/1/2014","Project Wagon","","Closed","M&A - Sell-side,","Wheelhouse","7/3/2014","","Phil Seefried","","","$40000000","$25mm - $75mm","$50000000","$800000","400000","50000","","","0","1084480","","Corporate to Practice","Housatonic Partners","Phil Seefried","","","Phil Seefried","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"604","Weiss Residential","","","","Weiss","","Closed","M&A - Sell-side","Minimum","7/31/2014","","Dave Francione","","","","","$1500000","","","","","","","","","Sole Sourced","","","","100%","Dave Francione","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"605","APX","","9/8/2014","","","","Pre Market","","","","","Rick deNey","TMT","Technology/Media/Telecom - Tech - Software","","","","","","","","","","","","Sole Sourced","","","","100%","Rick deNey","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"606","Clearwater Systems Corporation","8/13/2014","8/18/2014","","Clearwater Systems Corporation","","Pre Market","M&A - Sell-side","Minimum","","","Samrat Karnik","Industrials","Industrials - Technology - Controls, Instruments & Sensors","$4000000","","","$450000","450000","","","","10000","","Privately Owned","","","","","100%","Samrat Karnik","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"607","Creative Electronics Systems","10/13/2010","10/2/2014","","Creative Electronics Systems","","","","","","","Jerry Sturgill","","Technology/Media/Telecom - Tech - Hardware","","","","","","","","","","","","Sole Sourced","","","","100%","Jerry Sturgill","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"608","DESO, Inc.","","8/18/2014","","","","Pre Market","","","","","CJ Hummel","Energy & Natural Resources","Energy & Natural Resources - Pipeline","","","","","","","","","","","","","","","","100%","CJ Hummel","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"609","Diva Limousine","10/6/2014","10/2/2014","","Project Black Tie","","In Market","M&A - Sell-side","Minimum","","","Tyler Comann","Business Services","Business Services - Distribution, Transportation & Logistics","","","","$200000","150000","","","","15000","","Privately Owned","Corporate to Practice","","","","100%","Tyler Comann","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"610","DPRA","10/2/2014","9/30/2014","","DPRA","","Pre Market","M&A - Sell-side","Wheelhouse","","","David Brinkley","Industrials","Industrials - Aerospace/Defense","$12000000","$10mm - $25mm","","$550000","500000","","","","15000","","Privately Owned","Sole Sourced","","","","100%","David Brinkley","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"611","Dyersdale Energy LP","9/10/2014","9/8/2014","12/14/2014","Dyersdale Energy LP","","In Market","M&A - Sell-side,Divestiture","Wheelhouse","","","Macy/Pietravalle","Energy & Natural Resources","Energy & Natural Resources - Oil & Gas - E&P","$35000000","$25mm - $75mm","","$500000","","","","","10000","","Privately Owned","Practice to Practice","","","","100%","Macy/Pietravalle","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"612","Elbit Kinetics","","8/18/2014","","Elbit Kinetics","","Pre Market","","","","","Tess Oxenstierna","Industrials","Industrials - Aerospace/Defense","","","","","","","","","","","","Sole Sourced","","","","100%","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"613","Energy C2","8/27/2014","8/18/2014","","Energy C2","","Pre Market","Capital Formation - Debt","Wheelhouse","","","Mike Swartz","Energy & Natural Resources","Energy & Natural Resources - Alternative - Solar","$98000000","$75mm - $100mm","","$3275000","","","","","5000","","Privately Owned","IBS to Practice","Energy C2","","","50%","Mike Swartz","50%","CJ Hummel","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"614","Environmental Tectonics Corp.","","8/25/2014","","Environmental Tectonics Corp.","","Pre Market","","","","","Tess Oxenstierna","Industrials","Industrials - Aerospace/Defense","","","","","","","","","","","","Sole Sourced","","","","100%","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"615","Kirusa","9/30/2014","8/29/2014","","Kirusa","","Pre Market","Capital Formation - Equity,M&A - Sell-side","Wheelhouse","","","Gary Moon","TMT","Technology/Media/Telecom - Tech - Software","$30000000","$25mm - $75mm","","$900000","500000","","","","10000","","Privately Owned","Sole Sourced","","","","100%","Gary Moon","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"616","Loop Transportation","9/17/2014","","","Project Stage Coach","","In Market","M&A - Sell-side","Minimum","","","Tyler Comann","Business Services","Business Services - Distribution, Transportation & Logistics","$10000000","< $10mm","","$450000","300000","","","","7500","","Privately Owned","Sole Sourced","","","","100%","Tyler Comann","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"617","National Financial Companies","8/26/2014","7/25/2014","","Timer","","Pre Market","M&A - Buy-side","Speculative","","","Len LaPorta","Industrials","Industrials - Aerospace/Defense","","","","$400000","400000","15000","","","15000","","Privately Owned","SC to Practice","Headwaters SC","","","100%","Len LaPorta","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"618","Pacific Operators Offshore","7/21/2014","7/16/2014","","Project Grizzly","","Pre Market","Capital Formation - Debt,Capital Formation - Equity","Wheelhouse","","","Macy/Pietravalle","Energy & Natural Resources","Energy & Natural Resources - Oil & Gas - E&P","$50000000","$25mm - $75mm","","$1500000","450000","20000","","","10000","","Privately Owned","IBS to Practice","Pacific Operators Offshore","","","100%","Macy/Pietravalle","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"619","PAREX USA","9/24/2014","9/29/2014","","PAREX USA","","In Market","M&A - Buy-side","Minimum","","","Grant Garbers","Industrials","Industrials - Building Products & Construction Services","$15000000","$10mm - $25mm","","$275000","450000","50000","","","","","Privately Owned","Sole Sourced","","","","50%","Grant Garbers","50%","Peter Nam","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"620","Silescent Lighting Corp.","9/12/2014","8/18/2014","","Project Quiet","","Pre Market","M&A - Sell-side","Wheelhouse","","","Rick deNey","Industrials","Industrials - Technology","$25000000","$10mm - $25mm","","$625000","250000","50000","","","","","Privately Owned","IBS to Practice","Silescent Lighting Corp.","","","100%","Rick deNey","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"621","SpiralEdge","8/25/2014","8/18/2014","","SpiralEdge","","Pre Market","M&A - Sell-side","Wheelhouse","","","Gary Moon","TMT","Technology/Media/Telecom - Other","$80000000","$75mm - $100mm","","$1000000","800000","","","","15000","","Privately Owned","IBS to Practice","SpiralEdge","","","100%","Gary Moon","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"622","Tellagence","9/30/2014","9/22/2014","","Tellagence","","Pre Market","M&A - Sell-side","Speculative","","","Sun Jen Yung","TMT","Technology/Media/Telecom - Media - Internet Media and Marketing","$15000000","$10mm - $25mm","","$500000","","","","","10000","","Privately Owned","Sole Sourced","","","","100%","Sun Jen Yung","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
